ok  	jig/internal/tui	2.414s
ok  	jig/internal/tui/chart	1.131s
ok  	jig/internal/tui/chat	1.126s
ok  	jig/internal/tui/detail	1.117s
ok  	jig/internal/tui/diffview	1.100s
ok  	jig/internal/tui/monitor	4.417s
ok  	jig/internal/tui/palette	1.110s
ok  	jig/internal/tui/prefs	1.013s
ok  	jig/internal/tui/question	1.116s
ok  	jig/internal/tui/review	1.664s
ok  	jig/internal/tui/runs	1.148s
ok  	jig/internal/tui/selector	1.110s
ok  	jig/internal/tui/shared	1.167s
